journey_id,adobe_variable,data_element,purpose,required_for_journey,coverage_rate,lifecycle_status,processing_rule,launch_rule,schema_status
JRN001,eVar12,journey_name,Persistent journey name,yes,0.853,active,set eVar12 from digitalData.journey_name,join_membership_rule,approved
JRN001,eVar18,member_status,"Known member, guest, household associate",yes,0.628,active,set eVar18 from digitalData.member_status,join_membership_rule,needs QA
JRN001,eVar21,business_line,"Membership, roadside, travel, insurance, retail",yes,0.681,active,set eVar21 from digitalData.business_line,join_membership_rule,needs QA
JRN001,eVar32,auth_state,"Signed in, anonymous, partially matched",yes,0.779,active,set eVar32 from digitalData.auth_state,join_membership_rule,approved
JRN001,eVar41,quote_type,Lead product type for quote journeys,no,0.732,review,set eVar41 from digitalData.quote_type,join_membership_rule,approved
JRN001,prop9,page_template,Template taxonomy for content performance,yes,0.757,active,set prop9 from digitalData.page_template,join_membership_rule,approved
JRN001,event14,journey_start,Journey start counter,yes,0.636,active,set event14 from digitalData.journey_start,join_membership_rule,needs QA
JRN001,event22,journey_complete,Journey completion counter,yes,0.749,active,set event22 from digitalData.journey_complete,join_membership_rule,approved
JRN001,event31,lead_submit,Lead generation completion counter,no,0.836,active,set event31 from digitalData.lead_submit,join_membership_rule,approved
JRN001,event44,self_service_success,Self-service transaction completion,yes,0.614,active,set event44 from digitalData.self_service_success,join_membership_rule,needs QA
JRN001,event52,identity_bridge_success,Cross-domain identity continuity,yes,0.582,review,set event52 from digitalData.identity_bridge_success,join_membership_rule,needs QA
JRN001,event63,validation_error,Release QA validation failure,yes,0.65,active,set event63 from digitalData.validation_error,join_membership_rule,needs QA
JRN002,eVar12,journey_name,Persistent journey name,yes,0.855,active,set eVar12 from digitalData.journey_name,renew_membership_rule,approved
JRN002,eVar18,member_status,"Known member, guest, household associate",yes,0.782,active,set eVar18 from digitalData.member_status,renew_membership_rule,approved
JRN002,eVar21,business_line,"Membership, roadside, travel, insurance, retail",yes,0.802,active,set eVar21 from digitalData.business_line,renew_membership_rule,approved
JRN002,eVar32,auth_state,"Signed in, anonymous, partially matched",yes,0.914,active,set eVar32 from digitalData.auth_state,renew_membership_rule,approved
JRN002,eVar41,quote_type,Lead product type for quote journeys,no,0.715,review,set eVar41 from digitalData.quote_type,renew_membership_rule,approved
JRN002,prop9,page_template,Template taxonomy for content performance,yes,0.919,active,set prop9 from digitalData.page_template,renew_membership_rule,approved
JRN002,event14,journey_start,Journey start counter,yes,0.725,active,set event14 from digitalData.journey_start,renew_membership_rule,approved
JRN002,event22,journey_complete,Journey completion counter,yes,0.871,active,set event22 from digitalData.journey_complete,renew_membership_rule,approved
JRN002,event31,lead_submit,Lead generation completion counter,no,0.74,active,set event31 from digitalData.lead_submit,renew_membership_rule,approved
JRN002,event44,self_service_success,Self-service transaction completion,yes,0.773,active,set event44 from digitalData.self_service_success,renew_membership_rule,approved
JRN002,event52,identity_bridge_success,Cross-domain identity continuity,yes,0.714,review,set event52 from digitalData.identity_bridge_success,renew_membership_rule,needs QA
JRN002,event63,validation_error,Release QA validation failure,yes,0.689,active,set event63 from digitalData.validation_error,renew_membership_rule,needs QA
JRN003,eVar12,journey_name,Persistent journey name,yes,0.702,active,set eVar12 from digitalData.journey_name,upgrade_plan_rule,needs QA
JRN003,eVar18,member_status,"Known member, guest, household associate",yes,0.798,active,set eVar18 from digitalData.member_status,upgrade_plan_rule,approved
JRN003,eVar21,business_line,"Membership, roadside, travel, insurance, retail",yes,0.772,active,set eVar21 from digitalData.business_line,upgrade_plan_rule,approved
JRN003,eVar32,auth_state,"Signed in, anonymous, partially matched",yes,0.797,active,set eVar32 from digitalData.auth_state,upgrade_plan_rule,approved
