journey_id,journey_name,business_line,primary_surface,owner,baseline_daily_sessions,baseline_conversion_rate,value_per_completion,measurement_trust_baseline,report_suite,primary_domain
JRN001,Join membership,Membership,web,Growth,5400,0.074,126,0.74,membership_prod,membership.member-services.example
JRN002,Renew membership,Membership,web,Member Services,7200,0.192,98,0.82,membership_prod,membership.member-services.example
JRN003,Upgrade plan,Membership,web,Growth,3100,0.114,74,0.69,membership_prod,membership.member-services.example
JRN004,Request roadside assistance,Roadside,app,Roadside Ops,8900,0.438,38,0.91,roadside_prod,roadside.member-services.example
JRN005,Manage vehicles,Roadside,web,Member Services,2400,0.287,22,0.77,roadside_prod,roadside.member-services.example
JRN006,Book hotel,Travel,web,Travel,4200,0.061,182,0.66,travel_prod,travel.member-services.example
JRN007,Request cruise quote,Travel,web,Travel,1800,0.047,460,0.58,travel_prod,travel.member-services.example
JRN008,Insurance quote,Insurance,web,Insurance,3600,0.083,244,0.63,insurance_prod,insurance.member-services.example
JRN009,Schedule car care,Automotive,web,Car Care,2100,0.128,86,0.79,automotive_prod,automotive.member-services.example
JRN010,Search discounts,Discounts,web,Partner Marketing,5000,0.216,18,0.71,discounts_prod,discounts.member-services.example
JRN011,Apply for credit card,Financial Services,web,Financial Services,1500,0.039,310,0.54,financial_services_prod,financial-services.member-services.example
JRN012,Shop travel products,Retail,web,Retail,1950,0.054,64,0.61,retail_prod,retail.member-services.example
