date,journey_id,device,marketing_channel,sessions,journey_starts,journey_completions,lead_submits,self_service_successes,revenue_proxy,calls_deflected,bounce_rate,measurement_quality,identity_match_rate,beacon_loss_rate
2026-01-01,JRN001,desktop,organic_search,892,457,38,3,38,4788,14,0.2514,68.0,0.895,0.0119
2026-01-01,JRN001,desktop,paid_search,517,296,22,2,22,2772,9,0.1689,67.7,0.8547,0.0268
2026-01-01,JRN001,desktop,email,457,253,27,2,27,3402,6,0.2545,67.58,0.8875,0.0298
2026-01-01,JRN001,desktop,direct,520,254,21,0,21,2646,4,0.1844,71.18,0.8685,0.0165
2026-01-01,JRN001,mobile_web,organic_search,991,566,39,3,39,4914,13,0.2995,70.74,0.9118,0.0127
2026-01-01,JRN001,mobile_web,paid_search,577,333,22,1,22,2772,6,0.3087,69.07,0.8847,0.0319
2026-01-01,JRN001,mobile_web,email,474,261,23,1,23,2898,10,0.349,65.95,0.9304,0.0109
2026-01-01,JRN001,mobile_web,direct,527,303,18,2,18,2268,3,0.3127,71.23,0.9351,0.0133
2026-01-01,JRN001,mobile_app,organic_search,187,93,7,0,7,882,1,0.2345,65.74,0.8912,0.0308
2026-01-01,JRN001,mobile_app,paid_search,136,71,4,0,4,504,0,0.2388,69.03,0.9021,0.0265
2026-01-01,JRN001,mobile_app,email,98,51,4,0,4,504,1,0.2406,69.55,0.8799,0.0151
2026-01-01,JRN001,mobile_app,direct,127,58,6,0,6,756,1,0.2423,66.74,0.9004,0.0308
2026-01-01,JRN002,desktop,organic_search,1149,926,172,14,172,16856,45,0.187,79.28,0.898,0.0119
2026-01-01,JRN002,desktop,paid_search,654,505,91,6,91,8918,31,0.2265,73.9,0.8816,0.0197
2026-01-01,JRN002,desktop,email,546,360,108,12,108,10584,32,0.1558,74.26,0.9164,0.0109
2026-01-01,JRN002,desktop,direct,736,530,105,10,105,10290,41,0.2316,78.9,0.8793,0.012
2026-01-01,JRN002,mobile_web,organic_search,1150,914,137,5,137,13426,51,0.2437,74.73,0.9188,0.0197
2026-01-01,JRN002,mobile_web,paid_search,829,645,109,9,109,10682,27,0.2624,78.74,0.8954,0.0244
2026-01-01,JRN002,mobile_web,email,591,441,97,7,97,9506,20,0.2462,76.83,0.9033,0.0087
2026-01-01,JRN002,mobile_web,direct,708,561,106,5,106,10388,28,0.2354,80.3,0.9178,0.0107
2026-01-01,JRN002,mobile_app,organic_search,239,182,42,1,42,4116,13,0.1536,80.02,0.903,0.0191
2026-01-01,JRN002,mobile_app,paid_search,180,120,23,2,23,2254,6,0.1873,75.73,0.8933,0.0248
2026-01-01,JRN002,mobile_app,email,129,92,20,2,20,1960,4,0.1609,74.3,0.894,0.0167
2026-01-01,JRN002,mobile_app,direct,144,99,20,1,20,1960,5,0.2164,75.17,0.934,0.0157
2026-01-01,JRN003,desktop,organic_search,406,235,28,1,28,2072,12,0.24,64.32,0.8801,0.0299
2026-01-01,JRN003,desktop,paid_search,305,171,23,2,23,1702,7,0.205,59.41,0.9149,0.0293
2026-01-01,JRN003,desktop,email,260,147,16,1,16,1184,4,0.1604,65.24,0.8672,0.0369
2026-01-01,JRN003,desktop,direct,324,209,30,2,30,2220,7,0.1797,63.49,0.8629,0.0277
2026-01-01,JRN003,mobile_web,organic_search,571,346,36,3,36,2664,8,0.3146,60.45,0.9009,0.034
2026-01-01,JRN003,mobile_web,paid_search,323,192,18,2,18,1332,6,0.3232,57.99,0.8349,0.0475
2026-01-01,JRN003,mobile_web,email,232,142,16,1,16,1184,4,0.3197,62.46,0.9032,0.0166
2026-01-01,JRN003,mobile_web,direct,322,212,22,2,22,1628,5,0.3025,60.43,0.8508,0.0367
2026-01-01,JRN003,mobile_app,organic_search,97,59,7,0,7,518,2,0.1717,61.52,0.8801,0.0184
2026-01-01,JRN003,mobile_app,paid_search,75,43,5,0,5,370,1,0.2072,58.88,0.8625,0.0481
2026-01-01,JRN003,mobile_app,email,48,29,3,0,3,222,1,0.1747,60.83,0.8889,0.0366
2026-01-01,JRN003,mobile_app,direct,75,46,6,0,6,444,2,0.1584,63.92,0.853,0.0318
2026-01-01,JRN004,desktop,organic_search,311,267,146,14,146,5548,37,0.1802,87.17,0.8939,0.0048
2026-01-01,JRN004,desktop,paid_search,276,237,107,5,107,4066,40,0.1543,83.86,0.915,0.0165
2026-01-01,JRN004,desktop,email,182,156,80,7,80,3040,24,0.1612,88.26,0.8973,0.0033
2026-01-01,JRN004,desktop,direct,277,238,99,11,99,3762,38,0.1034,87.79,0.9263,0.0053
2026-01-01,JRN004,mobile_web,organic_search,377,324,151,8,151,5738,46,0.23,86.43,0.8782,0.0071
